Start,End,Multiday,ID,Name,Type,Description,Location,Camp,Camp website,Email,Event website
"08/27/2023, 6:00 PM","08/28/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"08/28/2023, 6:00 PM","08/29/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"08/29/2023, 6:00 PM","08/30/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"08/30/2023, 6:00 PM","08/31/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"08/31/2023, 6:00 PM","09/01/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"09/01/2023, 6:00 PM","09/02/2023, 12:00 AM",Y,43841,Art Car Repair,Repair,"Art car or disability vehicle broken? We have mechanics, welders, and parts to get you fixed up! Also good beer.",Gears & Beers,Gears & Beers,https://www.facebook.com/gearsandbeer3/?view_public_for=1582760765100159,,https://playaevents.burningman.org/2023/playa_event/43841/
"08/27/2023, 6:00 PM","08/27/2023, 9:00 PM",N,45040,Postcards & Poontang Punch!,Arts & Crafts,"Send some love back to the default world with handmade postcards, bring your address book!",Airstreameri and What Not,Airstreameri and What Not,,,https://playaevents.burningman.org/2023/playa_event/45040/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,46086,Ecstatic Dance,Class/Workshop,"Ecstatic Dance is a unique and liberating form of movement, an ecstatic celebration of life through free-flowing dance",Sticky's Playground,Sticky's Playground,https://brc.lastbetmotel.com/,,https://playaevents.burningman.org/2023/playa_event/46086/
"08/27/2023, 6:00 PM","08/28/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"08/28/2023, 6:00 PM","08/29/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"08/29/2023, 6:00 PM","08/30/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"08/30/2023, 6:00 PM","08/31/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"08/31/2023, 6:00 PM","09/01/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"09/01/2023, 6:00 PM","09/02/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"09/02/2023, 6:00 PM","09/03/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"09/03/2023, 6:00 PM","09/04/2023, 12:00 AM",Y,43968,Come get lost in our Mural Maze!,Arts & Crafts,Eight gorgeous triangles consisting of three murals each will be on display in our camp 24/7. Come take a gander!,HYPERSPACE,HYPERSPACE,,xuminest@gmail.com,https://playaevents.burningman.org/2023/playa_event/43968/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,44100,Picture Day and Postcards,Arts & Crafts,Slap on those beautiful smiles and come get your yearbook picture taken. Stay and make a postcard or typing class.,Bad Education,Bad Education,,,https://playaevents.burningman.org/2023/playa_event/44100/
"08/27/2023, 6:00 PM","08/27/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"08/28/2023, 6:00 PM","08/28/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"08/29/2023, 6:00 PM","08/29/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"08/30/2023, 6:00 PM","08/30/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"08/31/2023, 6:00 PM","08/31/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"09/01/2023, 6:00 PM","09/01/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"09/02/2023, 6:00 PM","09/02/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"09/03/2023, 6:00 PM","09/03/2023, 8:45 PM",Y,44996,Sign Language interpreting Services,Diversity & Inclusion,On going ASL/English interpreting,PlayaTerps Center Plaza and 4:45,,,,https://playaevents.burningman.org/2023/playa_event/44996/
"08/27/2023, 6:00 PM","08/27/2023, 7:30 PM",N,44904,Grilled Cheese,Food & Drink,Get some fresh grilled cheese as you set-up for a big week!,Big Ding Energy,Big Ding Energy,,,https://playaevents.burningman.org/2023/playa_event/44904/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,44221,Sunday Safari,Food & Drink,Escape to a wild oasis at Sips & Safari! Toast with majestic bubbles while surrounded by curious creatures!,Champagne Lounge,Champagne Lounge,https://www.facebook.com/Champagnelounge/,,https://playaevents.burningman.org/2023/playa_event/44221/
"08/27/2023, 6:00 PM","08/27/2023, 9:00 PM",N,44225,Welcome Home Happy Hour Party,Gathering/Party,Come get dusty and drunk with us! The bar will be open and the music will be playing! We missed you all so much!,Shine Town,Shine Town,,,https://playaevents.burningman.org/2023/playa_event/44225/
"08/27/2023, 6:00 PM","08/28/2023, 6:00 AM",N,44235,Welcome Home Party at Camp Never Sleep Again,Gathering/Party,"Let's dance, cheers, hug and welcome each other home. See if you can find our secret room! No sleeping allowed.",Never Sleep Again,Never Sleep Again,http://www.neversleepagain.org,,https://playaevents.burningman.org/2023/playa_event/44235/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"08/28/2023, 6:00 PM","08/28/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"08/29/2023, 6:00 PM","08/29/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"08/30/2023, 6:00 PM","08/30/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"08/31/2023, 6:00 PM","08/31/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"09/01/2023, 6:00 PM","09/01/2023, 11:45 PM",Y,41116,Shoot Your Balls Off,Games,The title says it all.,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,,https://playaevents.burningman.org/2023/playa_event/41116/
"08/27/2023, 6:00 PM","08/27/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"08/28/2023, 6:00 PM","08/28/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"08/29/2023, 6:00 PM","08/29/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"08/30/2023, 6:00 PM","08/30/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"08/31/2023, 6:00 PM","08/31/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"09/01/2023, 6:00 PM","09/01/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"09/02/2023, 6:00 PM","09/02/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"09/03/2023, 6:00 PM","09/03/2023, 10:00 PM",Y,43994,Day Glow Art Yard,Diversity & Inclusion,Frolic under the neon flowers. #LGBT,Comfort & Joy,Comfort & Joy,https://playajoy.org,,https://playaevents.burningman.org/2023/playa_event/43994/
"08/27/2023, 6:00 PM","08/27/2023, 9:00 PM",N,44361,We're Baaaaack!,Food & Drink,"Welcome back to the dust! Come drink, dance, and get frisky with us. All while savoring the tastiest tacos at the Burn!",Frothville,Frothville,http://www.frothinweirdos.com,,https://playaevents.burningman.org/2023/playa_event/44361/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"08/28/2023, 6:00 PM","08/28/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"08/29/2023, 6:00 PM","08/29/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"08/30/2023, 6:00 PM","08/30/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"08/31/2023, 6:00 PM","08/31/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"09/01/2023, 6:00 PM","09/01/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"09/02/2023, 6:00 PM","09/02/2023, 11:45 PM",Y,42749,Man-to-Man Play 24/7,Mature Audiences,Adult 18+ Gay/Queer/Bi/Curious men/male-identified peeps gather 24/7 for Man-to-Man play in an air cooled tent,Down Low Club,Down Low Club,,billybob91354@hotmail.com,https://playaevents.burningman.org/2023/playa_event/42749/
"08/27/2023, 6:00 PM","08/27/2023, 7:00 PM",Y,44882,The Whinery,Gathering/Party,"The Whinery is your sommelier, therapist, and inspiration all-in-one. Come unwind in our comfy, shaded winery dome.",Slushious,Slushious,http://slushious.org,,https://playaevents.burningman.org/2023/playa_event/44882/
"08/28/2023, 6:00 PM","08/28/2023, 7:00 PM",Y,44882,The Whinery,Gathering/Party,"The Whinery is your sommelier, therapist, and inspiration all-in-one. Come unwind in our comfy, shaded winery dome.",Slushious,Slushious,http://slushious.org,,https://playaevents.burningman.org/2023/playa_event/44882/
"08/30/2023, 6:00 PM","08/30/2023, 7:00 PM",Y,44882,The Whinery,Gathering/Party,"The Whinery is your sommelier, therapist, and inspiration all-in-one. Come unwind in our comfy, shaded winery dome.",Slushious,Slushious,http://slushious.org,,https://playaevents.burningman.org/2023/playa_event/44882/
"08/27/2023, 6:00 PM","08/27/2023, 6:15 PM",N,44819,"Morning meditation, Rabbi Danny & Heathen Steven",Self Care,Morning gratitude Meditation,Tarwater,Tarwater,,,https://playaevents.burningman.org/2023/playa_event/44819/
"08/27/2023, 6:00 PM","08/27/2023, 6:15 PM",N,44505,Color Your Feeling,Arts & Crafts,Come Color Your Feelings With New Friends,Honey Puddle,Honey Puddle,,,https://playaevents.burningman.org/2023/playa_event/44505/
"08/27/2023, 6:00 PM","08/28/2023, 2:00 AM",N,44552,Opening Night Celebration!,Gathering/Party,"In collaboration with participants and theme camps, Center Camp is coming alive! Come celebrate the changes. Live Music!",CENTER CAMP,,,,https://playaevents.burningman.org/2023/playa_event/44552/
"08/27/2023, 6:00 PM","08/27/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"08/28/2023, 6:00 PM","08/28/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"08/29/2023, 6:00 PM","08/29/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"08/30/2023, 6:00 PM","08/30/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"08/31/2023, 6:00 PM","08/31/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"09/01/2023, 6:00 PM","09/01/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"09/02/2023, 6:00 PM","09/02/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"09/03/2023, 6:00 PM","09/03/2023, 10:00 PM",Y,41278,Divine Your Desert Spirit Animal Connection,Ritual/Ceremony,SPIN the divination wheel. PUSH the button to connect with your animal. STAMP your body to show your animal connection.,Joyism,Joyism,,,https://playaevents.burningman.org/2023/playa_event/41278/
"08/27/2023, 6:00 PM","08/27/2023, 6:15 PM",N,46052,Awaken Your Avatar: Embodied Archetypal Play,Class/Workshop,"Archetypal work, breathwork, primal movement, and vocal improvisation to help you connect and TRANSFORM into your Avatar",Psychedelic Foam Village,Psychedelic Foam Village,,,https://playaevents.burningman.org/2023/playa_event/46052/
"08/27/2023, 6:00 PM","08/27/2023, 7:00 PM",N,45827,Açaí Bowl,Food & Drink,"Delicious, healthy and nutritious Brazilian acai served chilled to beat the desert heat!",Favela,Favela,https://www.instagram.com/favela_camp,,https://playaevents.burningman.org/2023/playa_event/45827/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,41455,Sunset Picklebacks,Food & Drink,First Night Pickle Back Shots: With only the finest pickles the playa has to offer.,Giants Workshop,Giants Workshop,,,https://playaevents.burningman.org/2023/playa_event/41455/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,41504,Party Naked and Get Lei'd,Food & Drink,"Cold Tiki Punch to BRC citizens 21+ for 11 years. Have a seat, enjoy the rock, get naked here & you may get lei'd. ID ck",Party Naked Tiki Bar,Party Naked Tiki Bar,https://www.facebook.com/sincityvillage/,,https://playaevents.burningman.org/2023/playa_event/41504/
"08/27/2023, 6:00 PM","08/27/2023, 7:45 PM",N,41508,Yacht Rock Happy Hour and BRC Passports!,Gathering/Party,Join us for the smooth sounds of soft rock from the late 70s and early 80s. Pick up your Black Rock City passport!,Black Rock City Passport Office,Black Rock City Passport Office,http://brcpassportoffice.com/,,https://playaevents.burningman.org/2023/playa_event/41508/
"08/27/2023, 6:00 PM","08/27/2023, 7:00 PM",N,41440,"Welcome Home Parade: Miss you, neighbor!",Parade,Join us in celebration and embrace the warmth of being back home. We can't wait to meet you!,Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41440/
"08/27/2023, 6:00 PM","08/27/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"08/28/2023, 6:00 PM","08/28/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"08/29/2023, 6:00 PM","08/29/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"08/30/2023, 6:00 PM","08/30/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"08/31/2023, 6:00 PM","08/31/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"09/01/2023, 6:00 PM","09/01/2023, 11:00 PM",Y,41540,Treat or Treating,Games,"DING DONG! Whether you're in the mood for a trick or treat, come knock on our door and see what spooky surprises we have",Halloween Camp,Halloween Camp,https://instagram.com/halloweencampbm,,https://playaevents.burningman.org/2023/playa_event/41540/
"08/27/2023, 6:00 PM","08/28/2023, 6:00 AM",Y,41573,BRC Gambling Corner!,Games,Better than frick frack! Come gamble your shitty playa gifts or — better yet — your good ones! Always open.,Camp THREAT,Camp THREAT,,,https://playaevents.burningman.org/2023/playa_event/41573/
